dir_costs,lost_trips_costs_s_r,traffic_costs_s_r,flood_sum_r1,flood_sum_r2_1,flood_sum_r2_2,flood_sum_r3,HW_inund_uncertainty,bridge_scour_uncertainty,travel_demand_uncertainty,restoration_capacity_uncertainty
25108854.0400496,61779290.132755,36752126.6988021,8867.72333013546,31533.4095012714,20878.1155882885,14646.3519342401,1.02237682099638,0.614224122525886,1.52945707391705,6
61065627.4739969,90396678.9028512,4623585.66592902,8132.11732246727,36674.2266998347,36271.5461585273,15125.8496581817,0.839812037731,1.28119409205656,1.10965250694345,9
37442569.4851171,35693851.2488387,-20154628.4828996,8498.09665822983,32603.1803032421,26146.8167738334,15105.5467552023,0.61848494252715,0.754898400809681,0.63611946180291,6
28005633.0956642,108692420.267816,72554599.7417458,8206.56341239531,32194.9300032647,23878.688429085,12074.4017033356,1.3655557838964,0.934555870757239,1.44688071731463,2
29743682.3854765,61823034.5647687,10006230.8669541,8033.98366212472,33439.5325507466,22589.6664573884,18585.4036506792,1.5314458846588,0.93606789164278,1.15183172182252,4
45015796.3833543,131982590.94883,-10476702.8825122,8614.14033845928,31246.8775446708,27442.4864423731,12245.3038211967,0.755091005727715,0.784403145625067,0.900352292114816,4
45534219.1266107,49501559.3772141,-8531066.00065271,8054.03022407182,31067.6033154913,23673.2915428769,13257.0074922963,0.47421490847229,0.395982017124847,0.865431736242807,5
31360475.7874344,23964710.5941368,-18094915.6896115,8497.06926208921,32518.8591993469,24678.6250555694,15731.0387221379,0.705478273230909,1.65239192413849,0.499090744186882,5
30089369.7767848,71969774.9434415,34361121.0981729,8012.6474697236,33441.8868746005,22591.1649761559,18586.355537814,0.476867510424057,0.528908807658392,1.38109247863779,4
53045711.7108891,143584534.626441,84043603.1710374,8649.66206341423,38260.4444515405,36623.5137472026,14933.4944372335,1.45422032038177,1.07999017606036,1.71624588261649,4
23848946.246125,57309149.0738154,42795134.6934917,8069.60088757658,31070.4259054511,20133.1455515971,16224.9185047903,1.46026456897846,0.46305925485458,1.59434803456612,7
22190425.858506,47717629.2647943,7900313.64568685,8104.52729594265,30982.8303357639,19528.5421303112,12194.590375078,0.867193658813677,1.22131468299997,1.13480061856726,3
28111747.2609661,58875514.190591,14933875.2208478,8031.03317071497,32842.270042885,22529.697778729,18554.1586547556,1.68133077375791,0.678543342301968,1.21569776804503,5
31989010.6558216,44105916.6520491,-5455694.50080199,8297.43747126381,32213.1327450758,22180.5965111381,19413.0624340071,0.654222921904138,0.769000828918065,0.859393414454841,8
38822981.0410308,69273306.0058618,14367429.6146398,8358.19219863275,33585.328119384,27317.1856931605,15315.1966827785,1.01412025691739,1.02654970219832,1.30424644850261,7
69941731.2331599,56440193.0940076,-27575251.0359892,8166.87726151291,36869.7524934582,30192.4891911049,15439.4600910808,0.31881497077985,0.774781143423151,0.600444641640118,8
33380714.1478148,92585243.291362,39883727.0996627,8521.96212574095,32426.8260636622,25575.822281926,14925.0838801271,0.25084447297405,0.717272025344566,1.71391405419186,7
31698744.3928042,203670548.932763,118821590.836958,8297.43747126381,32213.1327450758,22180.5965111381,19413.0624340071,1.64867023643366,0.494092764482948,1.62234985557602,2
26457306.2003073,53507865.1918006,26237608.0565151,7808.25450675655,31906.0230228943,20671.1610649974,17396.0151924205,0.300000246358253,0.474374191984958,1.32754825704576,7
42822386.2750011,35045740.2383198,-17658381.9659656,8724.6044695084,34209.2776598917,30186.6826799516,12990.1233991692,0.385052433218154,0.677049249481084,0.65021425154966,7
43905897.7224687,58211735.3747303,1788572.93664327,8512.379284353,35253.4962865201,29475.6776379666,17400.5159733283,0.292896449338889,1.39183259904626,1.06076985496173,8
29278288.3153342,41254374.8471607,10289914.5255629,8766.09133460885,31591.3700149701,25262.887738403,12106.1140573563,0.835231869423235,1.47458503071711,1.1736520641191,7
21941758.1369371,47151915.8935598,4598137.9567372,8098.86187478993,31070.6255336963,19563.5436615942,12107.4453847767,0.678602468165015,1.55513853605751,1.10898301423998,3
23726240.8186929,34950773.7679576,10605474.3548861,8051.70013475791,31020.094810412,19787.6167033441,12115.7983906695,0.758314732872241,1.71363988233385,1.23966898391956,6
36063029.8864074,29360462.202731,-13397131.711567,8650.66587433068,32723.5815215288,26725.132588548,15093.2672309782,1.01663801767032,1.08866267720079,0.671706835507729,8
34461526.7679847,59984155.1296287,36029044.8978982,8850.2745181839,32305.289418647,27899.2466094736,12181.8237396467,1.50881447847821,0.360138609646979,1.44075203072062,6
40867770.3739341,112408334.299955,5513915.08673234,8565.35424811626,34832.7357939783,29127.7763727494,17302.3018988319,1.18295563824689,0.80681114401654,0.998263094307601,2
