dir_costs,lost_trips_costs_s_r,traffic_costs_s_r,max_discharge_sum_r1,max_discharge_sum_r2_1,max_discharge_sum_r2_2,max_discharge_sum_r3,flood_sum_r1,flood_sum_r2_1,flood_sum_r2_2,flood_sum_r3,HW_inund_uncertainty,bridge_scour_uncertainty,travel_demand_uncertainty,restoration_capacity_uncertainty
23901103.1165228,23984795.0178069,-18257235.1722498,556.351771493195,1659.24610226687,1661.07746035428,1166.24563402569,8345.15145478933,30994.2482760267,19519.8836018618,19808.9498346634,1.64291158905989,1.23065222071676,0.49485788897274,4
40549071.2482849,92659866.277029,56284800.5198715,889.161832582157,1659.56111014356,1727.7436249124,570.304886104808,10002.1682656538,30996.5931021573,20252.299837638,14698.8508867243,1.00580252844043,1.69170165211579,1.51513684988917,3
24231486.7441296,42286564.3953785,14645310.6788396,819.678482315874,1659.25027698562,1662.30394173222,943.903539301402,9854.27452094865,30998.1650179708,19531.4803915848,18154.4824195294,0.860882825803095,1.63064466114972,1.41709866523865,9
24684303.8664378,33947132.0068443,-4464647.18677136,535.172413910895,1660.28050267401,1662.11662610664,1167.195645884,8242.2837294729,31004.2901542764,19516.0863205233,19815.9205801667,0.479602497463714,1.16222400789419,0.858913738872936,6
24471574.0782045,58534454.2987121,32500845.3037348,535.172413910895,1660.28050267401,1662.11662610664,1167.195645884,8242.2837294729,31004.2901542764,19516.0863205233,19815.9205801667,1.1647132337203,0.503751356210616,1.48335722035585,6
24429889.6317479,24082789.00645,-10023579.9261726,535.172413910895,1660.28050267401,1662.11662610664,1167.195645884,8242.2837294729,31004.2901542764,19516.0863205233,19815.9205801667,0.928925278629145,1.09959584432546,0.708045968168694,7
24421438.8876819,72319831.6760134,3154719.49190765,535.172413910895,1660.28050267401,1662.11662610664,1167.195645884,8242.2837294729,31004.2901542764,19516.0863205233,19815.9205801667,0.646360421165547,0.727882143672726,0.995657062051463,2
24362678.8527267,49431416.7799623,30169799.1847794,430.385507031621,1661.02614686938,1661.0261961854,1185.80652668416,7647.71888082009,31004.6190300594,19509.433740999,19939.1351944997,1.12136118240767,0.253750483334467,1.40172007489895,8
22147509.3607927,31321214.2476153,7052766.34173515,539.790885922242,1662.72056342373,1662.75789044173,376.518765331202,8099.13923050719,31007.5108262305,19519.7311531744,12106.4930181881,1.02944300586151,1.3054188529207,1.11378156330818,7
22095445.3007003,31014401.4484919,2676300.26110853,1014.86051608394,1662.7039985097,1662.99405073475,376.971663203651,10496.3273669067,31007.5222162188,19526.3487246093,12111.3251922997,1.71209636606293,1.55470136468919,1.06949153570084,9
